epoch,alpha_pgia_layer0,alpha_pgia_layer1,alpha_pgia_layer2
1,0.006359381601214409,0.01039731316268444,-0.022494887933135033
2,0.016801344230771065,0.011644073761999607,-0.04158199205994606
3,0.02468154765665531,0.011799643747508526,-0.04479154571890831
4,0.024585291743278503,0.011914469301700592,-0.04611843079328537
5,0.024460170418024063,0.01194634847342968,-0.047155510634183884
6,0.024103941395878792,0.012015817686915398,-0.04801086708903313
7,0.024464530870318413,0.012012701481580734,-0.04951021447777748
8,0.024800488725304604,0.011985822580754757,-0.051118068397045135
9,0.02521684765815735,0.011956325732171535,-0.052701082080602646
10,0.025401541963219643,0.01193221751600504,-0.053404707461595535
11,0.025605082511901855,0.011911788024008274,-0.055459097027778625
12,0.025863144546747208,0.011864311061799526,-0.05768798664212227
13,0.026201419532299042,0.011864058673381805,-0.06056295707821846
14,0.02649955451488495,0.01187638845294714,-0.06484808027744293
15,0.027066020295023918,0.011873730458319187,-0.06661204248666763
16,0.02726714499294758,0.011838793754577637,-0.07015968859195709
17,0.027393994852900505,0.011822735890746117,-0.07369589805603027
18,0.027558699250221252,0.011848093010485172,-0.07643342763185501
19,0.02779473550617695,0.01186288334429264,-0.08171078562736511
20,0.028100835159420967,0.011837146244943142,-0.08906206488609314
21,0.028305865824222565,0.01186119019985199,-0.09475798159837723
22,0.029180416837334633,0.011899931356310844,-0.1005416139960289
23,0.029445059597492218,0.011906880885362625,-0.1062380000948906
24,0.029897723346948624,0.011877702549099922,-0.11481006443500519
25,0.030140044167637825,0.011847071349620819,-0.12652543187141418
26,0.030077621340751648,0.01186341792345047,-0.16156084835529327
27,0.03008495829999447,0.011790197342634201,-0.2122090458869934
28,0.03316406160593033,0.012067860923707485,-0.22104141116142273
29,0.03596939519047737,0.011988488957285881,-0.23849225044250488
30,0.03664257749915123,0.012012612074613571,-0.2596372067928314
31,0.03745163604617119,0.012008904479444027,-0.2688528597354889
32,0.03817913681268692,0.01200867723673582,-0.2800742983818054
33,0.03847336769104004,0.011987695470452309,-0.2906135618686676
34,0.03925837576389313,0.01197477150708437,-0.3060270845890045
35,0.03906979039311409,0.01196084450930357,-0.31864720582962036
36,0.038834281265735626,0.011951865628361702,-0.3296832740306854
37,0.0384933166205883,0.011937699280679226,-0.3403077721595764
38,0.0377114899456501,0.011933404952287674,-0.3442060053348541
39,0.033481672406196594,0.011920753866434097,-0.34545835852622986
40,0.03296712413430214,0.01194019801914692,-0.34274595975875854
41,0.03251147270202637,0.011945719830691814,-0.34523770213127136
42,0.03241617977619171,0.011979963630437851,-0.3504919409751892
43,0.03214707970619202,0.012001721188426018,-0.3499084413051605
44,0.030009860172867775,0.011949158273637295,-0.350604385137558
45,0.029172832146286964,0.011900759302079678,-0.3590701222419739
46,0.02833377569913864,0.011946901679039001,-0.37210753560066223
47,0.02716425620019436,0.011966085992753506,-0.3848775625228882
48,0.02543765679001808,0.011935029178857803,-0.4006415903568268
49,0.025658849626779556,0.011946712620556355,-0.40903857350349426
50,0.023053746670484543,0.011944449506700039,-0.41613733768463135
51,0.021281501278281212,0.012032076716423035,-0.4298984706401825
52,0.019788431003689766,0.012104282155632973,-0.4407583475112915
53,0.018175248056650162,0.012008395045995712,-0.4715796113014221
54,0.017582224681973457,0.012025650590658188,-0.49424704909324646
55,0.015455183573067188,0.012366748414933681,-0.5305926203727722
56,0.01660175248980522,0.01286682765930891,-0.5587719082832336
57,0.01542533840984106,0.012735591270029545,-0.5760592818260193
58,0.015798181295394897,0.013361969031393528,-0.6083250045776367
59,0.01610589027404785,0.013445275835692883,-0.6357911229133606
60,0.016490129753947258,0.014091615565121174,-0.6767932176589966
61,0.01723635010421276,0.014530197717249393,-0.7126261591911316
62,0.018431611359119415,0.015117306262254715,-0.7583798170089722
63,0.020766088739037514,0.015824778005480766,-0.8249146342277527
64,0.026239899918437004,0.017711572349071503,-0.8802521228790283
65,0.0373549647629261,0.019433703273534775,-0.9214865565299988
66,0.06944525986909866,0.022264927625656128,-1.0055545568466187
67,0.11874521523714066,0.024747278541326523,-1.064810872077942
68,0.1705750674009323,0.02780371718108654,-1.10563325881958
69,0.22059066593647003,0.03171033039689064,-1.2004657983779907
70,0.2494506686925888,0.040306802839040756,-1.2807172536849976
71,0.300416499376297,0.05587080866098404,-1.3697646856307983
72,0.32450544834136963,0.08075042068958282,-1.4276864528656006
73,0.356440931558609,0.11952589452266693,-1.488301157951355
74,0.3394719064235687,0.14925305545330048,-1.5341225862503052
75,0.33504727482795715,0.21031741797924042,-1.5648102760314941
76,0.3302032947540283,0.2847629189491272,-1.60369074344635
77,0.3274753987789154,0.38165146112442017,-1.6272859573364258
78,0.32680845260620117,0.5006689429283142,-1.646289348602295
79,0.31073811650276184,0.6662058234214783,-1.6722729206085205
80,0.3089209198951721,0.8214796781539917,-1.6593401432037354
81,0.31297484040260315,0.925391674041748,-1.663916826248169
82,0.343797892332077,0.8986451625823975,-1.6996769905090332
83,0.34244176745414734,0.9380300045013428,-1.6988964080810547
84,0.34331780672073364,1.0517178773880005,-1.7075656652450562
85,0.34586918354034424,1.1598494052886963,-1.7168378829956055
86,0.34550490975379944,1.2187190055847168,-1.727484941482544
87,0.3509742021560669,1.2709084749221802,-1.717759132385254
88,0.3651352524757385,1.34416663646698,-1.7532422542572021
89,0.3732260465621948,1.399757981300354,-1.7506171464920044
90,0.37535178661346436,1.4079464673995972,-1.7727490663528442
91,0.38944876194000244,1.409724473953247,-1.7651422023773193
92,0.39081087708473206,1.439911127090454,-1.754329800605774
93,0.3913109004497528,1.444689393043518,-1.7812111377716064
94,0.40267783403396606,1.4640711545944214,-1.7742959260940552
95,0.4236200153827667,1.479404330253601,-1.7793680429458618
96,0.4347350299358368,1.4829553365707397,-1.8016324043273926
97,0.4610786437988281,1.4894880056381226,-1.8264281749725342
98,0.5008175373077393,1.4684971570968628,-1.806777000427246
99,0.5270012617111206,1.481437087059021,-1.8358633518218994
