timestamp,step,actual,predicted
2017/12/24 15:00,1,14.76016,14.943748
2017/12/24 16:00,2,10.3687725,10.336652
2017/12/24 17:00,3,4.85821,4.9982777
2017/12/24 18:00,4,1.1957948,1.3814465
2017/12/24 19:00,5,0.12952016,0.1785488
2017/12/24 20:00,6,-0.02133024,-0.040464543
2017/12/24 21:00,7,-0.021135747,-0.073514536
2017/12/24 22:00,8,-0.021048065,-0.12942567
2017/12/24 23:00,9,-0.02096876,-0.17312552
2017/12/25 0:00,10,-0.020819351,-0.1439748
2017/12/25 1:00,11,-0.021045057,0.010288715
2017/12/25 2:00,12,-0.021033809,-0.35648745
2017/12/25 3:00,13,-0.02105814,0.15345834
2017/12/25 4:00,14,-0.021140438,0.0059427675
2017/12/25 5:00,15,-0.021013135,-0.0014544036
2017/12/25 6:00,16,0.5192887,0.2896658
2017/12/25 7:00,17,3.7541053,1.964243
2017/12/25 8:00,18,8.741474,7.7119374
2017/12/25 9:00,19,13.120314,12.23852
2017/12/25 10:00,20,16.436625,15.982631
2017/12/25 11:00,21,18.252323,18.460403
2017/12/25 12:00,22,18.565582,19.048357
2017/12/25 13:00,23,18.201536,18.477852
2017/12/25 14:00,24,16.77098,16.361795
