epoch,train_loss,test_loss
1,1740.5391741112364,533.3898670543324
2,158.2322872681237,132.57810842340643
3,50.65365723265169,58.35972305644642
4,25.152484092354214,32.04249915209684
5,14.546827070030249,19.930936787345193
6,9.259310997707743,13.63119870966131
7,6.1663141642377965,9.221847690235485
8,4.204596950414595,6.560230374336243
9,2.9247849866258147,4.654000195589933
10,2.0840410856014127,3.3261579470200973
11,1.464297350863336,2.4293638717044486
12,1.0393406058980825,1.7132117704911665
13,0.7300610196702357,1.2104858766902578
14,0.5097132027848785,0.8592694786461916
15,0.35314495833546905,0.597167392210527
16,0.24163097520949137,0.4116239547729492
17,0.16304557616581938,0.2809547268531539
18,0.10905450652462775,0.1818196100267497
19,0.07206063710607834,0.12047519013285637
20,0.0473984501066622,0.08039959980682894
21,0.031724631047409746,0.054037416963414714
22,0.02248875654254441,0.03885603513229977
23,0.017011370315290812,0.029526536065069112
24,0.013973967130667586,0.024201878981495447
25,0.012201085483366755,0.02162010795013471
26,0.011085340143246969,0.01927422900599512
27,0.01036378688904776,0.018346868319944903
28,0.009708252732156657,0.01709915990517898
29,0.00926856516134606,0.01647115960209207
30,0.008837264183112923,0.015513579187576067
31,0.008442832627049495,0.014741748588329011
32,0.008013743304914223,0.014724774489348585
33,0.007683852186837527,0.01392386595887894
34,0.007338831399047109,0.013329527124931866
35,0.007097536217019032,0.012776052350686355
36,0.00685558162690818,0.012084385193884373
37,0.006498817074606676,0.011571292007680643
38,0.006371651783240128,0.012090059005740015
39,0.006132509068590305,0.01210546690801328
40,0.00594487599481964,0.010951911222020333
41,0.005727829770709742,0.00941410991151563
42,0.0055956120718655316,0.009942914261905984
43,0.005421671707034461,0.009587432418695904
44,0.005288409086670115,0.009052495696497234
45,0.005140299343136729,0.009332129395228218
46,0.0050751327552303604,0.009160449618304317
47,0.0048962289067378765,0.008418558770790696
48,0.004872288841299467,0.00893417369912971
49,0.004722155728421126,0.008777713978832419
50,0.0046414011461384805,0.008453276393596422
