epoch,train_mae,test_mae
1,270.153564453125,367.1782531738281
2,128.27374267578125,184.89651489257812
3,89.40210723876953,123.40239715576172
4,63.65422439575195,91.39960479736328
5,50.139625549316406,72.01028442382812
6,41.31892776489258,59.77681350708008
7,33.254573822021484,49.00001907348633
8,27.54688835144043,41.39973831176758
9,23.529521942138672,34.89176559448242
10,19.868331909179688,29.524980545043945
11,16.716575622558594,25.150684356689453
12,13.865388870239258,21.150531768798828
13,11.668240547180176,17.78476333618164
14,9.628691673278809,15.00001049041748
15,8.07677173614502,12.476231575012207
16,6.548814296722412,10.354364395141602
17,5.424260139465332,8.550393104553223
18,4.450862884521484,6.8802876472473145
19,3.5784335136413574,5.592310428619385
20,2.908280372619629,4.555690765380859
21,2.412250518798828,3.7078564167022705
22,2.037128210067749,3.1209805011749268
23,1.7893472909927368,2.6596195697784424
24,1.6258238554000854,2.3722305297851562
25,1.4963048696517944,2.16328501701355
26,1.4200294017791748,2.002411365509033
27,1.3519104719161987,1.9083524942398071
28,1.3069268465042114,1.8154526948928833
29,1.2741905450820923,1.7847603559494019
30,1.2344237565994263,1.70517098903656
31,1.205383539199829,1.6376250982284546
32,1.1496624946594238,1.5982433557510376
33,1.146868109703064,1.5676952600479126
34,1.1053341627120972,1.5306293964385986
35,1.0838148593902588,1.4947758913040161
36,1.057137131690979,1.4463005065917969
37,1.0665662288665771,1.4374054670333862
38,0.9910051226615906,1.4262133836746216
39,0.9520863890647888,1.4294990301132202
40,0.9373271465301514,1.3606674671173096
41,0.9940106868743896,1.2894792556762695
42,0.9056451916694641,1.290318250656128
43,0.8957810401916504,1.281435489654541
44,0.9714847207069397,1.2787256240844727
45,0.8528189659118652,1.2574745416641235
46,0.8443146347999573,1.2491507530212402
47,0.8631626963615417,1.2047513723373413
48,0.8238121271133423,1.225720763206482
49,0.8049728274345398,1.205193042755127
50,0.8421071171760559,1.2043060064315796
