epoch,train_r²,test_r²
1,-3178.342041015625,-4650.7294921875
2,-747.6373901367188,-1153.048583984375
3,-345.88592529296875,-506.2897033691406
4,-182.2982177734375,-277.3990173339844
5,-111.87934875488281,-172.11138916015625
6,-74.7691879272461,-117.39888763427734
7,-48.7501220703125,-79.09261322021484
8,-33.37984085083008,-55.96576690673828
9,-23.698392868041992,-39.42537307739258
10,-16.450891494750977,-27.883865356445312
11,-11.475273132324219,-20.100595474243164
12,-7.666574478149414,-13.881028175354004
13,-5.087812423706055,-9.513486862182617
14,-3.1942901611328125,-6.4623517990112305
15,-1.9248809814453125,-4.186689853668213
16,-0.960464596748352,-2.575347661972046
17,-0.33483457565307617,-1.4404525756835938
18,0.11223262548446655,-0.5791670083999634
19,0.4203507900238037,-0.04649984836578369
20,0.6164628267288208,0.3014715909957886
21,0.7350131869316101,0.5306384563446045
22,0.8070988655090332,0.6624414324760437
23,0.8471868634223938,0.7435295581817627
24,0.8703643083572388,0.7897924184799194
25,0.8837116956710815,0.8121709823608398
26,0.8930060863494873,0.8326117992401123
27,0.8994781970977783,0.840644121170044
28,0.9051710367202759,0.8515561819076538
29,0.9094330668449402,0.8568824529647827
30,0.9139189720153809,0.8652856349945068
31,0.9175037145614624,0.8720522522926331
32,0.921704888343811,0.8722214698791504
33,0.9236966371536255,0.8790714740753174
34,0.9277883172035217,0.8843993544578552
35,0.9302915930747986,0.889177680015564
36,0.9330804944038391,0.8952995538711548
37,0.9332407712936401,0.8995747566223145
38,0.9370709657669067,0.8953314423561096
39,0.9395009875297546,0.8949781656265259
40,0.942238986492157,0.9051511883735657
41,0.9410676956176758,0.9186381101608276
42,0.9454959630966187,0.9139681458473206
43,0.9470038414001465,0.9171035885810852
44,0.9431445598602295,0.9217419624328613
45,0.9498692750930786,0.9194380640983582
46,0.9509176015853882,0.9208630919456482
47,0.9509348273277283,0.9273672699928284
48,0.9525460004806519,0.9229902625083923
49,0.9534726738929749,0.9243305325508118
50,0.9528847336769104,0.9272341728210449
