epoch,train_eval_loss,train_step_loss,test_loss
1,0.09925678436460073,0.10430590161737406,0.11626849956959572
2,0.09938945773053418,0.1002966137427204,0.11720271598549827
3,0.09929350598681055,0.09975542732567158,0.1168382665373517
4,0.09929148370068516,0.10006558923226483,0.11690380152052916
5,0.05072148386386293,0.07718382290792915,0.05591630417664028
6,0.06319965593679198,0.08625662481447435,0.06236355845896839
7,0.03998290249282058,0.04203479733528956,0.04766389259002494
8,0.028641522392746088,0.03646170731001305,0.03843527469994887
9,0.031871283596608485,0.027508366888142982,0.04263362535549751
10,0.03824885529315453,0.036137135734535614,0.0473118197788437
11,0.019965080833407162,0.030898152130111208,0.028188971398965913
12,0.013523187399503343,0.017157350596532506,0.02523038259842111
13,0.011335113014291912,0.013043695480896617,0.022919638079190133
14,0.010771358378871205,0.012661011169119826,0.022668984087621778
15,0.011238329427465808,0.012236981828398299,0.022589392904692748
16,0.012334455547319512,0.011236063459501514,0.02035083806194395
17,0.008760738548469487,0.010335184941244012,0.019773444664553278
18,0.008661547652571735,0.010268153605174343,0.02134326037302775
19,0.00823476466629368,0.009530761613036101,0.02035869745747439
20,0.008973471132725917,0.009945804200504185,0.02016228590780425
21,0.008749098653627345,0.009747051862332056,0.019648940649081667
22,0.008102314221688106,0.009266713528700595,0.019565467223772122
23,0.008763488610402454,0.009062300963362432,0.02093792547833381
24,0.008039397315984584,0.009161422494798899,0.01996021815338702
25,0.008052796118873523,0.008861572657413077,0.020482973687099414
26,0.008084127173553491,0.008722756607106552,0.020094227933965456
27,0.007760040675606908,0.008530008448463565,0.020062442675122128
28,0.0078657250271104,0.00889492584040986,0.02017574347108347
29,0.008197725123221962,0.008555775701577933,0.02035887630548799
30,0.00807025794011207,0.008600610800368606,0.02043518228078311
31,0.007646264506459532,0.008586281260370084,0.020187532445101686
32,0.007811920707823328,0.008458154188152755,0.019676232317504098
33,0.007672540814063694,0.008627722364903058,0.019377672583665625
34,0.00856428389941912,0.008706879481356943,0.019821077159229452
35,0.008731059343193784,0.008760008917031985,0.02143824611683448
36,0.00745225399492846,0.008695065008722386,0.018898166336966896
37,0.007629978821538111,0.008250070164718156,0.019973287247057436
38,0.007748750805488643,0.008361218664092276,0.019235805861264246
39,0.007676065131025878,0.008494002199819628,0.019075465822574272
40,0.007416026131968514,0.008291351477141088,0.019608484839902324
41,0.007375828593781909,0.008366689898671125,0.01901816783324864
42,0.007401844865007849,0.008186161474166613,0.019206174173785864
43,0.0075085838343711105,0.008152457525215621,0.01967978586531694
44,0.007842386379800939,0.008331222459673882,0.019574332094110716
45,0.0077278664194214185,0.008283177698206788,0.019725435525775298
46,0.0077188427038180196,0.008320177140874121,0.019918781951742896
47,0.007428286400161432,0.008346672754137302,0.019171492654027223
48,0.007340862232245286,0.00821347418680506,0.019502632068592592
49,0.007737095598651771,0.00798256637282529,0.019252220925908555
50,0.0076601475867347025,0.00845399172976613,0.0195010209369823
51,0.007490207739604815,0.008218436124119556,0.01917540764658706
52,0.0077345523843208005,0.008186101843163653,0.01948703984794377
53,0.007522590462752074,0.008168792514622493,0.019581065987640957
54,0.007539154577842839,0.008028208383552308,0.019602007904074546
55,0.007798253735795745,0.008117551757198459,0.02064878114841542
56,0.007237286438095617,0.008158502230455852,0.019093436469617333
57,0.007595966261817957,0.008095926266901617,0.019669628674947173
58,0.007491655882049656,0.008367851973985726,0.019801416146271292
59,0.0071705822312938235,0.007988851398827051,0.019567727156541495
60,0.0075050407656368605,0.007868977351430452,0.018910625343529955
61,0.007366362173985856,0.008065541468138964,0.019866344586585576
62,0.007218948008155586,0.007827918440595551,0.019521723957726996
63,0.007330157477351436,0.007901709658568198,0.01973998979407082
64,0.00749106854047799,0.00788307149086218,0.01941474026581299
65,0.007180448923370583,0.007936576873345196,0.019109021124668023
66,0.007293804058977015,0.007966836369684283,0.01952199843217469
67,0.0073174894143741035,0.008074213733088295,0.019360743842171287
68,0.007320867652225794,0.00783615809742291,0.019644402482974454
69,0.00815238161220944,0.007831913955017642,0.01993293582268481
70,0.007347001640336702,0.008045615171486477,0.018857988239765984
71,0.007227962689780171,0.007887548029001028,0.02014606250497939
