epoch,train_mae,validation_mae
1,309.10235595703125,345.3677978515625
2,0.0,217.91293334960938
3,0.0,178.24411010742188
4,0.0,168.34115600585938
5,0.0,161.71255493164062
6,0.0,154.93429565429688
7,0.0,144.8182373046875
8,0.0,130.74156188964844
9,0.0,117.5748062133789
10,0.0,106.7362289428711
11,0.0,98.70946502685547
12,0.0,91.99910736083984
13,0.0,86.62848663330078
14,0.0,82.30667114257812
15,0.0,78.70219421386719
16,0.0,75.38951110839844
17,0.0,72.9733657836914
18,0.0,70.39962768554688
19,0.0,67.99493408203125
20,0.0,65.84036254882812
21,0.0,64.33956909179688
22,0.0,62.109336853027344
23,0.0,60.91661834716797
24,0.0,59.61965560913086
25,4.360963344573975,57.87746810913086
26,0.0,56.323333740234375
27,0.0,55.5904541015625
28,0.0,54.30942916870117
29,0.0,53.433685302734375
30,0.0,52.194026947021484
31,0.0,50.354732513427734
32,0.0,49.56208801269531
33,0.0,48.63064193725586
34,0.0,47.88969421386719
35,0.0,47.06791687011719
36,0.0,46.682369232177734
37,0.0,46.058387756347656
38,0.0,45.390220642089844
39,0.0,44.74178695678711
40,0.0,43.629432678222656
41,0.0,43.09174728393555
42,0.0,42.757423400878906
43,0.0,42.44620132446289
44,0.0,41.71453094482422
45,0.0,41.255916595458984
46,0.0,40.98749542236328
47,0.0,40.460845947265625
48,0.0,40.30318069458008
49,0.0,39.89681625366211
50,1.4423069953918457,39.77579879760742
